features,model_name,measure,value
bc,random_forest,average_precision_score_0.01,0.257
bc,random_forest,average_precision_score_0.05,0.257
bc,random_forest,average_precision_score_0.1,0.257
bc,lightgbm,roc_auc_score,0.581
bc,lightgbm,average_precision_score,0.32
bc,lightgbm,average_precision_score_0.01,0.257
bc,lightgbm,average_precision_score_0.05,0.257
bc,lightgbm,average_precision_score_0.1,0.257
bc,xgboost,roc_auc_score,0.583
bc,xgboost,average_precision_score,0.316
bc,xgboost,average_precision_score_0.01,0.257
bc,xgboost,average_precision_score_0.05,0.257
bc,xgboost,average_precision_score_0.1,0.257
dc,log_reg,roc_auc_score,0.486
dc,log_reg,average_precision_score,0.248
dc,log_reg,average_precision_score_0.01,0.257
dc,log_reg,average_precision_score_0.05,0.257
dc,log_reg,average_precision_score_0.1,0.257
dc,random_forest,roc_auc_score,0.524
dc,random_forest,average_precision_score,0.27
dc,random_forest,average_precision_score_0.01,0.257
dc,random_forest,average_precision_score_0.05,0.257
dc,random_forest,average_precision_score_0.1,0.257
dc,lightgbm,roc_auc_score,0.516
dc,lightgbm,average_precision_score,0.263
dc,lightgbm,average_precision_score_0.01,0.257
dc,lightgbm,average_precision_score_0.05,0.257
dc,lightgbm,average_precision_score_0.1,0.257
dc,xgboost,roc_auc_score,0.522
dc,xgboost,average_precision_score,0.267
dc,xgboost,average_precision_score_0.01,0.257
dc,xgboost,average_precision_score_0.05,0.257
dc,xgboost,average_precision_score_0.1,0.257
ndc,log_reg,roc_auc_score,0.589
ndc,log_reg,average_precision_score,0.293
ndc,log_reg,average_precision_score_0.01,0.257
ndc,log_reg,average_precision_score_0.05,0.257
ndc,log_reg,average_precision_score_0.1,0.257
ndc,random_forest,roc_auc_score,0.615
ndc,random_forest,average_precision_score,0.339
ndc,random_forest,average_precision_score_0.01,0.257
ndc,random_forest,average_precision_score_0.05,0.26
ndc,random_forest,average_precision_score_0.1,0.264
ndc,lightgbm,roc_auc_score,0.61
ndc,lightgbm,average_precision_score,0.322
ndc,lightgbm,average_precision_score_0.01,0.257
ndc,lightgbm,average_precision_score_0.05,0.257
ndc,lightgbm,average_precision_score_0.1,0.257
ndc,xgboost,roc_auc_score,0.617
ndc,xgboost,average_precision_score,0.338
ndc,xgboost,average_precision_score_0.01,0.257
ndc,xgboost,average_precision_score_0.05,0.257
ndc,xgboost,average_precision_score_0.1,0.257
cc,log_reg,roc_auc_score,0.529
cc,log_reg,average_precision_score,0.247
cc,log_reg,average_precision_score_0.01,0.257
cc,log_reg,average_precision_score_0.05,0.257
cc,log_reg,average_precision_score_0.1,0.257
cc,random_forest,roc_auc_score,0.653
cc,random_forest,average_precision_score,0.374
cc,random_forest,average_precision_score_0.01,0.257
cc,random_forest,average_precision_score_0.05,0.263
cc,random_forest,average_precision_score_0.1,0.277
cc,lightgbm,roc_auc_score,0.633
cc,lightgbm,average_precision_score,0.344
cc,lightgbm,average_precision_score_0.01,0.257
cc,lightgbm,average_precision_score_0.05,0.257
cc,lightgbm,average_precision_score_0.1,0.257
cc,xgboost,roc_auc_score,0.64
cc,xgboost,average_precision_score,0.349
cc,xgboost,average_precision_score_0.01,0.257
cc,xgboost,average_precision_score_0.05,0.257
cc,xgboost,average_precision_score_0.1,0.257
ec,log_reg,roc_auc_score,0.516
ec,log_reg,average_precision_score,0.237
ec,log_reg,average_precision_score_0.01,0.257
ec,log_reg,average_precision_score_0.05,0.257
ec,log_reg,average_precision_score_0.1,0.257
ec,random_forest,roc_auc_score,0.627
ec,random_forest,average_precision_score,0.327
ec,random_forest,average_precision_score_0.01,0.275
ec,random_forest,average_precision_score_0.05,0.278
ec,random_forest,average_precision_score_0.1,0.283
ec,lightgbm,roc_auc_score,0.682
ec,lightgbm,average_precision_score,0.377
ec,lightgbm,average_precision_score_0.01,0.257
ec,lightgbm,average_precision_score_0.05,0.274
ec,lightgbm,average_precision_score_0.1,0.291
ec,xgboost,roc_auc_score,0.682
ec,xgboost,average_precision_score,0.38
ec,xgboost,average_precision_score_0.01,0.27
ec,xgboost,average_precision_score_0.05,0.282
ec,xgboost,average_precision_score_0.1,0.296
eccen,log_reg,roc_auc_score,0.566
eccen,log_reg,average_precision_score,0.283
eccen,log_reg,average_precision_score_0.01,0.257
eccen,log_reg,average_precision_score_0.05,0.257
eccen,log_reg,average_precision_score_0.1,0.257
eccen,random_forest,roc_auc_score,0.61
eccen,random_forest,average_precision_score,0.313
eccen,random_forest,average_precision_score_0.01,0.257
eccen,random_forest,average_precision_score_0.05,0.257
eccen,random_forest,average_precision_score_0.1,0.282
eccen,lightgbm,roc_auc_score,0.61
eccen,lightgbm,average_precision_score,0.313
eccen,lightgbm,average_precision_score_0.01,0.257
eccen,lightgbm,average_precision_score_0.05,0.257
eccen,lightgbm,average_precision_score_0.1,0.257
eccen,xgboost,roc_auc_score,0.61
eccen,xgboost,average_precision_score,0.313
eccen,xgboost,average_precision_score_0.01,0.257
eccen,xgboost,average_precision_score_0.05,0.257
eccen,xgboost,average_precision_score_0.1,0.257
core,log_reg,roc_auc_score,0.477
core,log_reg,average_precision_score,0.243
core,log_reg,average_precision_score_0.01,0.257
core,log_reg,average_precision_score_0.05,0.257
core,log_reg,average_precision_score_0.1,0.257
core,random_forest,roc_auc_score,0.582
core,random_forest,average_precision_score,0.319
core,random_forest,average_precision_score_0.01,0.261
core,random_forest,average_precision_score_0.05,0.264
core,random_forest,average_precision_score_0.1,0.267
core,lightgbm,roc_auc_score,0.582
core,lightgbm,average_precision_score,0.319
core,lightgbm,average_precision_score_0.01,0.257
core,lightgbm,average_precision_score_0.05,0.257
core,lightgbm,average_precision_score_0.1,0.257
core,xgboost,roc_auc_score,0.584
core,xgboost,average_precision_score,0.314
core,xgboost,average_precision_score_0.01,0.257
core,xgboost,average_precision_score_0.05,0.257
core,xgboost,average_precision_score_0.1,0.257
participation_in_mod_deg,log_reg,roc_auc_score,0.626
participation_in_mod_deg,log_reg,average_precision_score,0.337
participation_in_mod_deg,log_reg,average_precision_score_0.01,0.257
participation_in_mod_deg,log_reg,average_precision_score_0.05,0.257
participation_in_mod_deg,log_reg,average_precision_score_0.1,0.257
participation_in_mod_deg,random_forest,roc_auc_score,0.774
participation_in_mod_deg,random_forest,average_precision_score,0.515
participation_in_mod_deg,random_forest,average_precision_score_0.01,0.265
participation_in_mod_deg,random_forest,average_precision_score_0.05,0.28
participation_in_mod_deg,random_forest,average_precision_score_0.1,0.305
participation_in_mod_deg,lightgbm,roc_auc_score,0.772
participation_in_mod_deg,lightgbm,average_precision_score,0.504
participation_in_mod_deg,lightgbm,average_precision_score_0.01,0.257
participation_in_mod_deg,lightgbm,average_precision_score_0.05,0.291
participation_in_mod_deg,lightgbm,average_precision_score_0.1,0.327
participation_in_mod_deg,xgboost,roc_auc_score,0.829
participation_in_mod_deg,xgboost,average_precision_score,0.607
participation_in_mod_deg,xgboost,average_precision_score_0.01,0.259
participation_in_mod_deg,xgboost,average_precision_score_0.05,0.303
participation_in_mod_deg,xgboost,average_precision_score_0.1,0.353
node2vec,log_reg,roc_auc_score,0.932
node2vec,log_reg,average_precision_score,0.818
node2vec,log_reg,average_precision_score_0.01,0.313
node2vec,log_reg,average_precision_score_0.05,0.377
node2vec,log_reg,average_precision_score_0.1,0.425
node2vec,random_forest,roc_auc_score,0.988
node2vec,random_forest,average_precision_score,0.971
node2vec,random_forest,average_precision_score_0.01,0.266
node2vec,random_forest,average_precision_score_0.05,0.416
node2vec,random_forest,average_precision_score_0.1,0.574
node2vec,lightgbm,roc_auc_score,0.99
node2vec,lightgbm,average_precision_score,0.975
node2vec,lightgbm,average_precision_score_0.01,0.483
node2vec,lightgbm,average_precision_score_0.05,0.712
node2vec,lightgbm,average_precision_score_0.1,0.785
node2vec,xgboost,roc_auc_score,0.991
node2vec,xgboost,average_precision_score,0.977
node2vec,xgboost,average_precision_score_0.01,0.642
node2vec,xgboost,average_precision_score_0.05,0.791
node2vec,xgboost,average_precision_score_0.1,0.833
struc2vec,log_reg,roc_auc_score,0.532
struc2vec,log_reg,average_precision_score,0.275
struc2vec,log_reg,average_precision_score_0.01,0.257
struc2vec,log_reg,average_precision_score_0.05,0.257
struc2vec,log_reg,average_precision_score_0.1,0.257
struc2vec,random_forest,roc_auc_score,0.653
struc2vec,random_forest,average_precision_score,0.415
struc2vec,random_forest,average_precision_score_0.01,0.257
struc2vec,random_forest,average_precision_score_0.05,0.257
struc2vec,random_forest,average_precision_score_0.1,0.257
struc2vec,lightgbm,roc_auc_score,0.627
struc2vec,lightgbm,average_precision_score,0.372
struc2vec,lightgbm,average_precision_score_0.01,0.257
struc2vec,lightgbm,average_precision_score_0.05,0.257
struc2vec,lightgbm,average_precision_score_0.1,0.257
struc2vec,xgboost,roc_auc_score,0.614
struc2vec,xgboost,average_precision_score,0.362
struc2vec,xgboost,average_precision_score_0.01,0.257
struc2vec,xgboost,average_precision_score_0.05,0.257
struc2vec,xgboost,average_precision_score_0.1,0.26
