features,model_name,measure,value
ec,lightgbm,average_precision_score,0.292
ec,lightgbm,average_precision_score_0.01,0.206
ec,lightgbm,average_precision_score_0.05,0.206
ec,lightgbm,average_precision_score_0.1,0.206
ec,xgboost,roc_auc_score,0.629
ec,xgboost,average_precision_score,0.305
ec,xgboost,average_precision_score_0.01,0.216
ec,xgboost,average_precision_score_0.05,0.225
ec,xgboost,average_precision_score_0.1,0.232
eccen,log_reg,roc_auc_score,0.591
eccen,log_reg,average_precision_score,0.248
eccen,log_reg,average_precision_score_0.01,0.206
eccen,log_reg,average_precision_score_0.05,0.206
eccen,log_reg,average_precision_score_0.1,0.206
eccen,random_forest,roc_auc_score,0.591
eccen,random_forest,average_precision_score,0.248
eccen,random_forest,average_precision_score_0.01,0.206
eccen,random_forest,average_precision_score_0.05,0.206
eccen,random_forest,average_precision_score_0.1,0.206
eccen,lightgbm,roc_auc_score,0.591
eccen,lightgbm,average_precision_score,0.248
eccen,lightgbm,average_precision_score_0.01,0.206
eccen,lightgbm,average_precision_score_0.05,0.206
eccen,lightgbm,average_precision_score_0.1,0.206
eccen,xgboost,roc_auc_score,0.591
eccen,xgboost,average_precision_score,0.248
eccen,xgboost,average_precision_score_0.01,0.206
eccen,xgboost,average_precision_score_0.05,0.206
eccen,xgboost,average_precision_score_0.1,0.206
core,log_reg,roc_auc_score,0.527
core,log_reg,average_precision_score,0.22
core,log_reg,average_precision_score_0.01,0.206
core,log_reg,average_precision_score_0.05,0.206
core,log_reg,average_precision_score_0.1,0.206
core,random_forest,roc_auc_score,0.536
core,random_forest,average_precision_score,0.221
core,random_forest,average_precision_score_0.01,0.213
core,random_forest,average_precision_score_0.05,0.213
core,random_forest,average_precision_score_0.1,0.213
core,lightgbm,roc_auc_score,0.537
core,lightgbm,average_precision_score,0.221
core,lightgbm,average_precision_score_0.01,0.206
core,lightgbm,average_precision_score_0.05,0.206
core,lightgbm,average_precision_score_0.1,0.206
core,xgboost,roc_auc_score,0.535
core,xgboost,average_precision_score,0.22
core,xgboost,average_precision_score_0.01,0.206
core,xgboost,average_precision_score_0.05,0.206
core,xgboost,average_precision_score_0.1,0.206
participation_in_mod_deg,log_reg,roc_auc_score,0.566
participation_in_mod_deg,log_reg,average_precision_score,0.265
participation_in_mod_deg,log_reg,average_precision_score_0.01,0.206
participation_in_mod_deg,log_reg,average_precision_score_0.05,0.206
participation_in_mod_deg,log_reg,average_precision_score_0.1,0.206
participation_in_mod_deg,random_forest,roc_auc_score,0.859
participation_in_mod_deg,random_forest,average_precision_score,0.654
participation_in_mod_deg,random_forest,average_precision_score_0.01,0.212
