features,model_name,measure,value
bc,random_forest,roc_auc_score,0.64
bc,random_forest,average_precision_score,0.121
bc,random_forest,average_precision_score_0.01,0.093
bc,random_forest,average_precision_score_0.05,0.113
bc,random_forest,average_precision_score_0.1,0.117
bc,lightgbm,roc_auc_score,0.647
bc,lightgbm,average_precision_score,0.122
bc,lightgbm,average_precision_score_0.01,0.086
bc,lightgbm,average_precision_score_0.05,0.107
bc,lightgbm,average_precision_score_0.1,0.117
bc,xgboost,roc_auc_score,0.659
bc,xgboost,average_precision_score,0.124
bc,xgboost,average_precision_score_0.01,0.086
bc,xgboost,average_precision_score_0.05,0.086
bc,xgboost,average_precision_score_0.1,0.086
dc,log_reg,roc_auc_score,0.513
dc,log_reg,average_precision_score,0.109
dc,log_reg,average_precision_score_0.01,0.086
dc,log_reg,average_precision_score_0.05,0.086
dc,log_reg,average_precision_score_0.1,0.086
dc,random_forest,roc_auc_score,0.652
dc,random_forest,average_precision_score,0.164
dc,random_forest,average_precision_score_0.01,0.09
dc,random_forest,average_precision_score_0.05,0.097
dc,random_forest,average_precision_score_0.1,0.117
dc,lightgbm,roc_auc_score,0.658
dc,lightgbm,average_precision_score,0.172
dc,lightgbm,average_precision_score_0.01,0.086
dc,lightgbm,average_precision_score_0.05,0.094
dc,lightgbm,average_precision_score_0.1,0.129
dc,xgboost,roc_auc_score,0.64
dc,xgboost,average_precision_score,0.148
dc,xgboost,average_precision_score_0.01,0.086
dc,xgboost,average_precision_score_0.05,0.086
dc,xgboost,average_precision_score_0.1,0.086
ndc,log_reg,roc_auc_score,0.551
ndc,log_reg,average_precision_score,0.12
ndc,log_reg,average_precision_score_0.01,0.086
ndc,log_reg,average_precision_score_0.05,0.086
ndc,log_reg,average_precision_score_0.1,0.086
ndc,random_forest,roc_auc_score,0.625
ndc,random_forest,average_precision_score,0.173
ndc,random_forest,average_precision_score_0.01,0.086
ndc,random_forest,average_precision_score_0.05,0.091
ndc,random_forest,average_precision_score_0.1,0.114
ndc,lightgbm,roc_auc_score,0.633
ndc,lightgbm,average_precision_score,0.155
ndc,lightgbm,average_precision_score_0.01,0.086
ndc,lightgbm,average_precision_score_0.05,0.092
ndc,lightgbm,average_precision_score_0.1,0.117
ndc,xgboost,roc_auc_score,0.629
ndc,xgboost,average_precision_score,0.181
ndc,xgboost,average_precision_score_0.01,0.086
ndc,xgboost,average_precision_score_0.05,0.095
ndc,xgboost,average_precision_score_0.1,0.115
cc,log_reg,roc_auc_score,0.524
cc,log_reg,average_precision_score,0.09
cc,log_reg,average_precision_score_0.01,0.086
cc,log_reg,average_precision_score_0.05,0.086
cc,log_reg,average_precision_score_0.1,0.086
cc,random_forest,roc_auc_score,0.639
cc,random_forest,average_precision_score,0.17
cc,random_forest,average_precision_score_0.01,0.094
cc,random_forest,average_precision_score_0.05,0.095
cc,random_forest,average_precision_score_0.1,0.114
cc,lightgbm,roc_auc_score,0.644
cc,lightgbm,average_precision_score,0.184
cc,lightgbm,average_precision_score_0.01,0.086
cc,lightgbm,average_precision_score_0.05,0.096
cc,lightgbm,average_precision_score_0.1,0.111
cc,xgboost,roc_auc_score,0.655
cc,xgboost,average_precision_score,0.173
cc,xgboost,average_precision_score_0.01,0.086
cc,xgboost,average_precision_score_0.05,0.095
cc,xgboost,average_precision_score_0.1,0.118
ec,log_reg,roc_auc_score,0.523
ec,log_reg,average_precision_score,0.113
ec,log_reg,average_precision_score_0.01,0.086
ec,log_reg,average_precision_score_0.05,0.086
ec,log_reg,average_precision_score_0.1,0.086
ec,random_forest,roc_auc_score,0.595
ec,random_forest,average_precision_score,0.124
ec,random_forest,average_precision_score_0.01,0.089
ec,random_forest,average_precision_score_0.05,0.09
ec,random_forest,average_precision_score_0.1,0.108
ec,lightgbm,roc_auc_score,0.631
ec,lightgbm,average_precision_score,0.148
ec,lightgbm,average_precision_score_0.01,0.086
ec,lightgbm,average_precision_score_0.05,0.091
ec,lightgbm,average_precision_score_0.1,0.114
ec,xgboost,roc_auc_score,0.633
ec,xgboost,average_precision_score,0.15
ec,xgboost,average_precision_score_0.01,0.086
ec,xgboost,average_precision_score_0.05,0.086
ec,xgboost,average_precision_score_0.1,0.086
eccen,log_reg,roc_auc_score,0.538
eccen,log_reg,average_precision_score,0.092
eccen,log_reg,average_precision_score_0.01,0.086
eccen,log_reg,average_precision_score_0.05,0.086
eccen,log_reg,average_precision_score_0.1,0.086
eccen,random_forest,roc_auc_score,0.543
eccen,random_forest,average_precision_score,0.093
eccen,random_forest,average_precision_score_0.01,0.086
eccen,random_forest,average_precision_score_0.05,0.093
eccen,random_forest,average_precision_score_0.1,0.086
eccen,lightgbm,roc_auc_score,0.541
eccen,lightgbm,average_precision_score,0.093
eccen,lightgbm,average_precision_score_0.01,0.086
eccen,lightgbm,average_precision_score_0.05,0.086
eccen,lightgbm,average_precision_score_0.1,0.086
eccen,xgboost,roc_auc_score,0.54
